"city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Ackley","Rum",10236,673,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Whisky",25785,2178,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Misc",2312,122,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Gin",1250,129,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Brandy",595,54,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Schnapps",2045,162,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Tequila",945,48,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Distilled Spirits",123,15,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Vodka",14528,1652,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Ackley","Amaretto",239,24,88.8,20,4,30790,1738,1715,0,0,0,0,15,8
"Adair","Vodka",11760,969,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Whisky",19034,1083,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Brandy",670,34,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Rum",6921,440,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Schnapps",956,67,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Tequila",1032,34,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Gin",521,36,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Misc",2196,89,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adair","Amaretto",18,3,96.6,19,6.8,32639,813,788,4,1,4,0,3,13
"Adel","Misc",23034,1494,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Vodka",76744,7567,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Tequila",18351,1367,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Gin",6622,591,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Rum",42835,3385,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Distilled Spirits",1626,69,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Brandy",3909,288,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Whisky",126213,8458,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Amaretto",785,69,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Adel","Schnapps",5992,474,93.7,32,3.1,37130,4030,3956,20,0,0,0,0,54
"Afton","Vodka",5602,738,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Gin",130,15,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Brandy",473,40,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Schnapps",735,53,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Tequila",1107,55,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Misc",2469,140,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Amaretto",280,34,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Whisky",17687,1119,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Distilled Spirits",150,6,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Afton","Rum",3366,194,89.4,11.5,5.7,27457,967,953,2,6,2,0,0,4
"Akron","Brandy",318,28,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Whisky",13447,926,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Amaretto",101,16,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Misc",1768,78,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Schnapps",1471,118,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Rum",5343,356,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Distilled Spirits",38,1,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Tequila",733,37,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Gin",120,9,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Akron","Vodka",7731,926,86.5,14.3,4.6,25769,1485,1477,0,0,0,0,0,8
"Albert City","Whisky",630,31,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
"Albert City","Misc",146,4,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
"Albert City","Vodka",391,29,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
"Albert City","Rum",289,11,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
"Albert City","Tequila",112,7,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
"Albert City","Gin",58,2,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
"Albert City","Schnapps",84,4,90.9,17,4.1,26510,589,549,17,0,2,0,7,14
"Albia","Tequila",11043,724,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Amaretto",1542,176,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Vodka",52790,5097,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Rum",41917,2808,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Brandy",6182,453,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Misc",26994,1641,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Distilled Spirits",1713,84,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Schnapps",14405,1077,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Gin",4293,370,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Albia","Whisky",127516,8813,83.9,18.6,4.9,31408,3795,3620,5,0,11,0,118,41
"Alburnett","Misc",109,3,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Vodka",169,12,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Rum",80,7,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Brandy",13,2,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Whisky",231,14,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Schnapps",56,2,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alburnett","Tequila",9,0,95.3,21.6,3.4,32115,633,618,0,0,0,0,0,15
"Alden","Whisky",44967,3003,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Schnapps",2592,206,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Misc",4662,280,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Gin",2049,226,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Amaretto",333,47,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Tequila",2113,99,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
"Alden","Distilled Spirits",295,14,88.5,9.2,5.1,31028,769,725,0,0,0,0,41,3
