"zipcode","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
50002,"Misc",2196,89,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Amaretto",18,3,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Vodka",11760,969,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Tequila",1032,34,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Schnapps",956,67,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Rum",6921,440,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Gin",521,36,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Whisky",19034,1083,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50002,"Brandy",670,34,96.5,17.1,5.5,32938,1364,1339,4,1,4,0,3,13
50003,"Rum",42835,3385,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Gin",6622,591,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Vodka",76744,7567,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Misc",23034,1494,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Amaretto",785,69,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Brandy",3909,288,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Distilled Spirits",1626,69,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Tequila",18351,1367,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Whisky",126213,8458,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50003,"Schnapps",5992,474,95,38.8,2.5,41809,6893,6728,32,22,16,0,0,95
50006,"Tequila",2113,99,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Gin",2049,226,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Rum",19915,1413,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Whisky",44967,3003,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Misc",4662,280,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Vodka",16466,1695,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Brandy",564,54,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Distilled Spirits",295,14,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Schnapps",2592,206,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50006,"Amaretto",333,47,91.1,15.2,3.2,31989,1524,1480,0,0,0,0,41,3
50009,"Tequila",145529,10411,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Gin",49068,3513,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Vodka",599751,50122,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Brandy",36787,2086,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Amaretto",10629,899,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Schnapps",64271,4759,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Rum",341864,24537,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Misc",214560,12823,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Whisky",738673,43028,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50009,"Distilled Spirits",11623,501,94.5,30.8,4.2,40354,18600,17684,122,13,334,0,7,440
50010,"Vodka",1649416,140290,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
